id,cost,status,xloc,yloc
1,10000,0,42.7793941232546,-67.7104948999986
2,10178.709871,0,42.9851511941282,-67.7104948999974
3,10000,0,42.4707585151471,-67.6510979245036
4,10000,0,42.6765155874613,-67.6510979245029
5,11163.519935,0,42.882272658811,-67.6510979245014
6,10041.424059,0,43.0880297292042,-67.6510979245014
7,10000,0,43.2937867986266,-67.6510979245018
8,10000,0,42.3678799786417,-67.5917009490024
9,10000,0,42.5736370514244,-67.591700949001
10,10676.324469,0,42.7793941232538,-67.5917009490005
11,10668.241307,0,42.9851511941276,-67.5917009489994
12,10024.348714,0,43.1909082640318,-67.5917009490005
13,10008.045478,0,43.3966653329672,-67.5917009490013
14,10000,0,43.6024224009107,-67.5917009490025
15,10000,0,42.2650014418933,-67.5323039735002
16,10000,0,42.4707585151478,-67.5323039734979
17,10379.061525,0,42.6765155874614,-67.5323039735008
18,11340.578535,0,42.8822726588115,-67.5323039734982
19,10243.070489,0,43.0880297292037,-67.532303973499
20,10474.233416,0,43.2937867986261,-67.5323039734996
21,10004.988335,0,43.4995438670659,-67.5323039734997
22,10000,0,43.7053009345179,-67.532303973499
23,10000,0,42.367879978642,-67.4729069980005
24,10084.907117,0,42.5736370514229,-67.4729069979997
25,10516.648953,0,42.7793941232561,-67.4729069980003
26,10708.100862,0,42.9851511941279,-67.4729069980006
27,10184.098423,0,43.1909082640321,-67.4729069979991
28,10275.182443,0,43.3966653329676,-67.4729069979993
29,10040.393374,0,43.6024224009114,-67.472906997999
30,10000,0,43.8081794678646,-67.4729069980003
31,10000,0,44.0139365338198,-67.4729069980022
32,10000,0,42.2650014418932,-67.4135100225006
33,10047.341177,0,42.4707585151485,-67.4135100224988
34,11975.798785,0,42.6765155874609,-67.4135100224988
35,10320.352684,0,42.8822726588101,-67.4135100225017
36,10454.482276,0,43.0880297292037,-67.4135100224999
37,10914.017189,0,43.2937867986263,-67.4135100224992
38,10063.686452,0,43.4995438670663,-67.4135100225002
39,10009.403642,0,43.7053009345187,-67.4135100225004
40,10002.922745,0,43.9110580009712,-67.413510022498
41,10133.618931,0,42.3678799786433,-67.3541130469992
42,10002.626781,0,42.5736370514231,-67.3541130470008
43,10590.537994,0,42.7793941232558,-67.3541130469994
44,11016.273093,0,42.9851511941287,-67.3541130469996
45,10388.672756,0,43.1909082640317,-67.3541130470015
46,10372.679784,0,43.3966653329663,-67.3541130469994
47,10206.031584,0,43.6024224009104,-67.3541130469986
48,10068.485572,0,43.8081794678649,-67.3541130469987
49,10002.920749,0,44.0139365338184,-67.3541130470008
50,10000,0,44.2196935987555,-67.354113046998
51,10007.57977,0,42.265001441894,-67.2947160714983
52,10195.473622,0,42.4707585151467,-67.2947160714994
53,11398.556826,0,42.6765155874611,-67.2947160714975
54,10141.412772,0,42.8822726588097,-67.2947160714983
55,10343.853042,0,43.0880297292033,-67.2947160714995
56,10751.592064,0,43.2937867986271,-67.2947160714997
57,11044.508789,0,43.4995438670664,-67.2947160714972
58,10227.901614,0,43.7053009345184,-67.2947160714994
59,10278.023432,0,43.9110580009701,-67.2947160715005
60,10000.817557,0,44.1168150664158,-67.2947160714988
61,10040.000002,0,44.3225721308445,-67.2947160715001
62,10000,0,42.1621229049194,-67.2353190960001
63,11054.508908,0,42.3678799786425,-67.2353190959996
64,10031.433244,0,42.5736370514239,-67.2353190960003
65,10479.670309,0,42.7793941232553,-67.2353190960004
66,12319.983704,0,42.9851511941285,-67.2353190960002
67,10119.707307,0,43.1909082640322,-67.2353190960016
68,10568.655244,0,43.3966653329678,-67.2353190960002
69,10997.572709,0,43.6024224009104,-67.2353190960025
70,10255.661953,0,43.8081794678652,-67.2353190960014
